,review,predictedvalue
0,"
            I just love these earrings, such great quality, shipping was fast considering they come from overseas, they look even better in person, will order from them again, Grazie!
        ",1.0
1,"
            Earrings thoughtfully packaged, they are just as depicted/described & they seem to be of sturdy material. I have a few items Favorited from this shop & I will possibly shop again!
        ",1.0
2,"
            Received my order earlier than expected. Beautiful earrings!
        ",1.0
3,"
            This came out wayyy better than I expected! I used these ear climbers for my wedding and they were super cute. The only reason I didn�t give 5 stars is because I lost 1 ear climber at the end of the day. :( I know I had put it on correctly and tightened it, but it didn�t hold up. Otherwise, the earrings are still great!
        ",1.0
4,"
            An absolutely beautiful piece of jewellery. I had to wear them as soon as they arrived! I have had multiple compliments on them and they are my new favourite pair. Blown away with the speed of delivery considering where the jewellery was coming from. 
Would definitely buy from here again!
        ",1.0
5,"
            These are gorgeous earrings! They fit me really well even though I have small ears. They are the perfect accessory for any event.
        ",1.0
6,"
            I absolutely LOVE my earrings! They are so unique and dainty. I�ve had so many compliments on them already and Connor wait to wear them for the wedding I�m in next week. I would recommend ordering from MilysDesign! My order was processed quickly and came wrapped safely in bubble wrap so the earrings wouldn�t get damaged.
        ",1.0
7,"
            Oh my goodness, these earrings are absolutely gorgeous! I had to try them on as soon as I got them and I am SO happy I made this purchase! They�re the perfect size and I already know I�m going to wear them all the time. Quick shipping too!
        ",1.0
8,"
            Love them! They fit great and were exactly as advertised. It was my first time trying climber earrings, and I got the wire back.
        ",1.0
9,"
            I love all these earrings so much! The posts are very delicate though and one was bent on receiving. Still functioning though. I�d definitely purchase more from this shop
        ",1.0
10,"
            Really cute! Fast shipping! Loved that I didn�t have to order the two letters separately.
        ",1.0
11,"
            The pictures don�t do it justice! Beautiful piece of jewelry! I get so many compliments!
        ",1.0
12,"
            Even more beautiful than in the photos. The opals are mesmerizing! 

I bought them as a gift for my mums birthday - they were delivered quickly and on time as promised!
        ",1.0
13,"
            They came on time since they came from overseas. I love the vintage opal because it is my birthstone and it is gorgeous. the craftsmanship is unbelievable and they fit perfect without any slippage. I recommend this product to any and everyone/. The price is worth it which wasn't high at all. thank you so much for this good quality product...         sherry
        ",1.0
14,"
            Absolutely LOVE it! I�m addicted to this beautiful jewellery. THANK YOU SO MUCH!!!
        ",1.0
